segment_id,road_name,highway_type,lon_from,lat_from,lon_to,lat_to,lon_center,lat_center,length_m,bearing_deg,lanes,maxspeed_kmh,oneway,has_signal_from,has_signal_to,is_way_entry,is_way_exit,road_importance
0,Ahmadu Bello Way,trunk,3.4040321,6.440111,3.4047197,6.4396866,3.4043759,6.4398988,89.44,121.8,2,50,yes,0,0,1,0,1
1,Ahmadu Bello Way,trunk,3.4047197,6.4396866,3.4052293,6.4393334,3.4049745,6.43951,68.65,124.9,2,50,yes,0,0,0,0,1
2,Ahmadu Bello Way,trunk,3.4052293,6.4393334,3.4058898,6.4388759,3.40555955,6.43910465,88.96,124.9,2,50,yes,0,0,0,0,1
3,Ahmadu Bello Way,trunk,3.4058898,6.4388759,3.4069392,6.4381727,3.4064145000000003,6.4385243,139.85,124.0,2,50,yes,0,0,0,1,1
4,Adeola Odeku Street,secondary,3.4239777,6.4292452,3.423878,6.4292447,3.42392785,6.42924495,11.02,269.7,2,50,yes,1,1,1,0,3
5,Adeola Odeku Street,secondary,3.423878,6.4292447,3.4232068,6.4292439,3.4235424,6.429244300000001,74.16,269.9,2,50,yes,1,0,0,0,3
6,Adeola Odeku Street,secondary,3.4232068,6.4292439,3.4229081,6.4292462,3.42305745,6.4292450500000005,33.01,270.4,2,50,yes,0,0,0,0,3
7,Adeola Odeku Street,secondary,3.4229081,6.4292462,3.4226602,6.429264,3.42278415,6.4292551,27.46,274.1,2,50,yes,0,0,0,0,3
8,Adeola Odeku Street,secondary,3.4226602,6.429264,3.4226536,6.4292645,3.4226569,6.42926425,0.73,274.4,2,50,yes,0,0,0,0,3
9,Adeola Odeku Street,secondary,3.4226536,6.4292645,3.4223425,6.4292965,3.42249805,6.429280500000001,34.56,275.9,2,50,yes,0,0,0,0,3
10,Adeola Odeku Street,secondary,3.4223425,6.4292965,3.4221882,6.4293218,3.42226535,6.42930915,17.28,279.4,2,50,yes,0,0,0,0,3
11,Adeola Odeku Street,secondary,3.4221882,6.4293218,3.4220146,6.4293505,3.4221014,6.42933615,19.45,279.4,2,50,yes,0,0,0,0,3
12,Adeola Odeku Street,secondary,3.4220146,6.4293505,3.4213475,6.429505,3.42168105,6.42942775,75.69,283.1,2,50,yes,0,0,0,0,3
13,Adeola Odeku Street,secondary,3.4213475,6.429505,3.4207818,6.4296641,3.42106465,6.42958455,64.96,285.8,2,50,yes,0,0,0,0,3
14,Adeola Odeku Street,secondary,3.4207818,6.4296641,3.4202946,6.4297996,3.4205382,6.42973185,55.9,285.6,2,50,yes,0,0,0,0,3
15,Adeola Odeku Street,secondary,3.4202946,6.4297996,3.4192251,6.4300875,3.41975985,6.42994355,122.43,285.2,2,50,yes,0,0,0,0,3
16,Adeola Odeku Street,secondary,3.4192251,6.4300875,3.4186926,6.4302193,3.41895885,6.4301534,60.64,284.0,2,50,yes,0,0,0,0,3
17,Adeola Odeku Street,secondary,3.4186926,6.4302193,3.4179242,6.4304253,3.4183084,6.4303223,87.94,285.1,2,50,yes,0,0,0,0,3
18,Adeola Odeku Street,secondary,3.4179242,6.4304253,3.417611,6.4304999,3.4177676,6.4304626,35.59,283.5,2,50,yes,0,0,0,0,3
19,Adeola Odeku Street,secondary,3.417611,6.4304999,3.4173837,6.4305459,3.41749735,6.4305229,25.63,281.5,2,50,yes,0,0,0,0,3
20,Adeola Odeku Street,secondary,3.4173837,6.4305459,3.417155,6.4305824,3.41726935,6.43056415,25.59,279.1,2,50,yes,0,0,0,0,3
21,Adeola Odeku Street,secondary,3.417155,6.4305824,3.4171028,6.4305906,3.4171289,6.4305865,5.84,279.0,2,50,yes,0,0,0,0,3
22,Adeola Odeku Street,secondary,3.4171028,6.4305906,3.4166764,6.4306481,3.4168896,6.430619350000001,47.55,277.7,2,50,yes,0,0,0,0,3
23,Adeola Odeku Street,secondary,3.4166764,6.4306481,3.4164825,6.4306639,3.41657945,6.430656,21.5,274.7,2,50,yes,0,0,0,0,3
24,Adeola Odeku Street,secondary,3.4164825,6.4306639,3.4161489,6.430682,3.4163157,6.43067295,36.92,273.1,2,50,yes,0,0,0,0,3
25,Adeola Odeku Street,secondary,3.4161489,6.430682,3.4158276,6.4306901,3.41598825,6.43068605,35.51,271.5,2,50,yes,0,0,0,0,3
26,Adeola Odeku Street,secondary,3.4158276,6.4306901,3.4151957,6.4306911,3.41551165,6.4306906,69.82,270.1,2,50,yes,0,0,0,0,3
27,Adeola Odeku Street,secondary,3.4151957,6.4306911,3.4141704,6.4306905,3.41468305,6.4306908,113.29,270.0,2,50,yes,0,0,0,0,3
28,Adeola Odeku Street,secondary,3.4141704,6.4306905,3.4137855,6.4306911,3.41397795,6.4306908,42.53,270.1,2,50,yes,0,0,0,0,3
29,Adeola Odeku Street,secondary,3.4137855,6.4306911,3.4133088,6.4306918,3.41354715,6.430691449999999,52.67,270.1,2,50,yes,0,0,0,0,3
30,Adeola Odeku Street,secondary,3.4133088,6.4306918,3.412767,6.4306652,3.4130379,6.4306785,59.94,267.2,2,50,yes,0,0,0,0,3
31,Adeola Odeku Street,secondary,3.412767,6.4306652,3.4125423,6.4306312,3.4126546500000003,6.4306482,25.11,261.3,2,50,yes,0,0,0,0,3
32,Adeola Odeku Street,secondary,3.4125423,6.4306312,3.412309,6.4305912,3.4124256500000003,6.4306112,26.16,260.2,2,50,yes,0,0,0,0,3
33,Adeola Odeku Street,secondary,3.412309,6.4305912,3.4121574,6.4305545,3.4122332,6.430572850000001,17.24,256.3,2,50,yes,0,0,0,0,3
34,Adeola Odeku Street,secondary,3.4121574,6.4305545,3.4120099,6.4305106,3.41208365,6.430532550000001,17.01,253.3,2,50,yes,0,0,0,0,3
35,Adeola Odeku Street,secondary,3.4120099,6.4305106,3.4115727,6.4303526,3.4117913,6.4304316,51.4,250.0,2,50,yes,0,0,0,0,3
36,Adeola Odeku Street,secondary,3.4115727,6.4303526,3.4112488,6.4302332,3.41141075,6.4302929,38.17,249.6,2,50,yes,0,0,0,0,3
37,Adeola Odeku Street,secondary,3.4112488,6.4302332,3.4109967,6.4301521,3.41112275,6.43019265,29.28,252.1,2,50,yes,0,0,0,0,3
38,Adeola Odeku Street,secondary,3.4109967,6.4301521,3.4107575,6.4300919,3.4108771,6.430122,27.27,255.8,2,50,yes,0,0,0,0,3
39,Adeola Odeku Street,secondary,3.4107575,6.4300919,3.4104892,6.4300449,3.41062335,6.4300684,30.1,260.0,2,50,yes,0,0,0,0,3
40,Adeola Odeku Street,secondary,3.4104892,6.4300449,3.410257,6.4300216,3.4103731,6.43003325,25.79,264.2,2,50,yes,0,0,0,0,3
41,Adeola Odeku Street,secondary,3.410257,6.4300216,3.4102413,6.4300209,3.4102491500000003,6.430021249999999,1.74,267.4,2,50,yes,0,0,0,0,3
42,Adeola Odeku Street,secondary,3.4102413,6.4300209,3.4100318,6.4300122,3.41013655,6.43001655,23.17,267.6,2,50,yes,0,0,0,0,3
43,Adeola Odeku Street,secondary,3.4100318,6.4300122,3.4097523,6.4300104,3.40989205,6.4300113,30.88,269.6,2,50,yes,0,0,0,0,3
44,Adeola Odeku Street,secondary,3.4097523,6.4300104,3.4093585,6.4300095,3.4095554000000003,6.43000995,43.51,269.9,2,50,yes,0,0,0,0,3
45,Adeola Odeku Street,secondary,3.4093585,6.4300095,3.4089,6.4300156,3.4091292500000003,6.43001255,50.67,270.8,2,50,yes,0,1,0,0,3
46,Adeola Odeku Street,secondary,3.4089,6.4300156,3.4087987,6.430015,3.40884935,6.4300153,11.19,269.7,2,50,yes,1,1,0,1,3
47,Saka Tinubu Street,tertiary,3.4239759,6.4270816,3.4238935,6.4270814,3.4239347,6.4270815,9.1,269.9,2,50,no,1,1,1,0,4
48,Saka Tinubu Street,tertiary,3.4238935,6.4270814,3.4231558,6.4270795,3.42352465,6.42708045,81.51,269.9,2,50,no,1,0,0,0,4
49,Saka Tinubu Street,tertiary,3.4231558,6.4270795,3.4225631,6.427078,3.42285945,6.42707875,65.49,269.9,2,50,no,0,0,0,0,4
50,Saka Tinubu Street,tertiary,3.4225631,6.427078,3.4221782,6.427077,3.42237065,6.427077499999999,42.53,269.9,2,50,no,0,0,0,0,4
51,Saka Tinubu Street,tertiary,3.4221782,6.427077,3.4213218,6.4270748,3.42175,6.4270759,94.63,269.9,2,50,no,0,0,0,0,4
52,Saka Tinubu Street,tertiary,3.4213218,6.4270748,3.4208378,6.4270735,3.4210798,6.427074149999999,53.48,269.8,2,50,no,0,0,0,0,4
53,Saka Tinubu Street,tertiary,3.4208378,6.4270735,3.4199417,6.4270712,3.42038975,6.42707235,99.02,269.9,2,50,no,0,0,0,0,4
54,Saka Tinubu Street,tertiary,3.4199417,6.4270712,3.4192519,6.4270694,3.4195968,6.4270703000000005,76.22,269.8,2,50,no,0,0,0,0,4
55,Saka Tinubu Street,tertiary,3.4192519,6.4270694,3.4186524,6.4270679,3.41895215,6.42706865,66.24,269.9,2,50,no,0,0,0,0,4
56,Saka Tinubu Street,tertiary,3.4186524,6.4270679,3.4172952,6.4270644,3.4179738,6.42706615,149.97,269.9,2,50,no,0,0,0,0,4
57,Saka Tinubu Street,tertiary,3.4172952,6.4270644,3.4164839,6.4270623,3.41688955,6.42706335,89.65,269.9,2,50,no,0,0,0,1,4
58,Akin Adesola Street,primary,3.4240005,6.4226451,3.4239971,6.4227308,3.4239988,6.42268795,9.54,357.7,2,50,yes,1,1,1,0,2
59,Akin Adesola Street,primary,3.4239971,6.4227308,3.4239914,6.4235933,3.42399425,6.42316205,95.91,359.6,2,50,yes,1,0,0,0,2
60,Akin Adesola Street,primary,3.4239914,6.4235933,3.42399,6.4240904,3.4239907,6.4238418500000005,55.28,359.8,2,50,yes,0,0,0,0,2
61,Akin Adesola Street,primary,3.42399,6.4240904,3.4240021,6.4248354,3.42399605,6.4244629,82.85,0.9,2,50,yes,0,0,0,1,2
62,Akin Adesola Street,primary,3.4245364,6.4377083,3.4243635,6.437314,3.42444995,6.43751115,47.83,203.5,2,50,yes,0,0,1,0,2
63,Akin Adesola Street,primary,3.4243635,6.437314,3.4242831,6.437082,3.4243233,6.437198,27.28,199.0,2,50,yes,0,0,0,0,2
64,Akin Adesola Street,primary,3.4242831,6.437082,3.4241192,6.4365436,3.42420115,6.4368128,62.55,196.8,2,50,yes,0,0,0,1,2
65,Ahmadu Bello Way,trunk,3.4273873,6.4226948,3.4273642,6.4226862,3.42737575,6.4226905,2.73,249.5,2,50,yes,0,0,1,0,1
66,Ahmadu Bello Way,trunk,3.4273642,6.4226862,3.4273318,6.4226822,3.4273480000000003,6.4226842,3.61,262.9,2,50,yes,0,0,0,0,1
67,Ahmadu Bello Way,trunk,3.4273318,6.4226822,3.4273032,6.4226801,3.4273175,6.42268115,3.17,265.8,2,50,yes,0,0,0,0,1
68,Ahmadu Bello Way,trunk,3.4273032,6.4226801,3.425889,6.4227217,3.4265961000000003,6.422700900000001,156.33,271.7,2,50,yes,0,0,0,0,1
69,Ahmadu Bello Way,trunk,3.425889,6.4227217,3.4249505,6.4227478,3.42541975,6.42273475,103.74,271.6,2,50,yes,0,0,0,0,1
70,Ahmadu Bello Way,trunk,3.4249505,6.4227478,3.4244943,6.4227404,3.4247224000000003,6.4227441,50.42,269.1,2,50,yes,0,0,0,0,1
71,Ahmadu Bello Way,trunk,3.4244943,6.4227404,3.4239971,6.4227308,3.4242457,6.4227356,54.95,268.9,2,50,yes,0,1,0,1,1
72,Ahmadu Bello Way,trunk,3.4041342,6.4402163,3.4026058,6.4412747,3.40337,6.4407455,205.84,304.9,2,50,yes,0,0,1,1,1
73,Ahmadu Bello Way,trunk,3.4016016,6.4418215,3.4013522,6.4419401,3.4014769,6.4418808,30.55,295.6,2,50,yes,0,0,1,0,1
74,Ahmadu Bello Way,trunk,3.4013522,6.4419401,3.4011644,6.4420427,3.4012583,6.4419914,23.68,298.8,2,50,yes,0,0,0,0,1
75,Ahmadu Bello Way,trunk,3.4011644,6.4420427,3.4010048,6.4421426,3.4010846,6.44209265,20.84,302.2,2,50,yes,0,0,0,0,1
76,Ahmadu Bello Way,trunk,3.4010048,6.4421426,3.4008613,6.4422586,3.40093305,6.4422006,20.44,309.1,2,50,yes,0,0,0,0,1
77,Ahmadu Bello Way,trunk,3.4008613,6.4422586,3.4006011,6.4425078,3.4007312,6.4423832,39.93,313.9,2,50,yes,0,0,0,0,1
78,Ahmadu Bello Way,trunk,3.4006011,6.4425078,3.4002836,6.442847,3.40044235,6.4426774,51.51,317.1,2,50,yes,0,0,0,0,1
79,Ahmadu Bello Way,trunk,3.4002836,6.442847,3.400077,6.4430451,3.4001803,6.44294605,31.72,314.0,2,50,yes,0,0,0,0,1
80,Ahmadu Bello Way,trunk,3.400077,6.4430451,3.3998836,6.4432203,3.3999803,6.4431327,28.92,312.4,2,50,yes,0,0,0,0,1
81,Ahmadu Bello Way,trunk,3.3998836,6.4432203,3.3996841,6.4433829,3.39978385,6.4433016,28.51,309.4,2,50,yes,0,0,0,0,1
82,Ahmadu Bello Way,trunk,3.3996841,6.4433829,3.3995179,6.4434999,3.399601,6.443441399999999,22.51,305.3,2,50,yes,0,0,0,0,1
83,Ahmadu Bello Way,trunk,3.3995179,6.4434999,3.3993481,6.4436014,3.399433,6.443550650000001,21.89,301.0,2,50,yes,0,0,0,0,1
84,Ahmadu Bello Way,trunk,3.3993481,6.4436014,3.399127,6.4437371,3.39923755,6.44366925,28.71,301.7,2,50,yes,0,0,0,0,1
85,Ahmadu Bello Way,trunk,3.399127,6.4437371,3.398817,6.4439374,3.398972,6.44383725,40.86,303.0,2,50,yes,0,0,0,0,1
86,Ahmadu Bello Way,trunk,3.398817,6.4439374,3.398798,6.4439497,3.3988075,6.44394355,2.51,303.1,2,50,yes,0,0,0,0,1
87,Ahmadu Bello Way,trunk,3.398798,6.4439497,3.3984956,6.4441496,3.3986468,6.44404965,40.13,303.6,2,50,yes,0,0,0,0,1
88,Ahmadu Bello Way,trunk,3.3984956,6.4441496,3.3982565,6.4442735,3.39837605,6.44421155,29.8,297.5,2,50,yes,0,0,0,1,1
89,Ahmadu Bello Way,trunk,3.4023887,6.4411018,3.4040321,6.440111,3.4032104,6.4406064,212.39,121.2,2,50,yes,0,0,1,1,1
90,Ahmadu Bello Way,trunk,3.4026058,6.4412747,3.4022929,6.4414662,3.40244935,6.44137045,40.6,301.6,2,50,yes,0,0,1,0,1
91,Ahmadu Bello Way,trunk,3.4022929,6.4414662,3.4020608,6.4415982,3.40217685,6.441532199999999,29.55,299.8,2,50,yes,0,0,0,0,1
92,Ahmadu Bello Way,trunk,3.4020608,6.4415982,3.4019643,6.4416481,3.40201255,6.44162315,12.02,297.5,2,50,yes,0,0,0,0,1
93,Ahmadu Bello Way,trunk,3.4019643,6.4416481,3.4019298,6.4416661,3.40194705,6.4416571000000005,4.31,297.7,2,50,yes,0,0,0,0,1
94,Ahmadu Bello Way,trunk,3.4019298,6.4416661,3.4018725,6.4416975,3.40190115,6.4416818,7.23,298.9,2,50,yes,0,0,0,0,1
95,Ahmadu Bello Way,trunk,3.4018725,6.4416975,3.4018175,6.4417228,3.401845,6.4417101500000005,6.7,294.8,2,50,yes,0,0,0,0,1
96,Ahmadu Bello Way,trunk,3.4018175,6.4417228,3.4017508,6.4417522,3.40178415,6.4417375,8.06,293.9,2,50,yes,0,0,0,0,1
97,Ahmadu Bello Way,trunk,3.4017508,6.4417522,3.4017025,6.4417738,3.40172665,6.441763,5.85,294.2,2,50,yes,0,0,0,0,1
98,Ahmadu Bello Way,trunk,3.4017025,6.4417738,3.4016258,6.4418108,3.40166415,6.4417923,9.42,295.9,2,50,yes,0,0,0,0,1
99,Ahmadu Bello Way,trunk,3.4016258,6.4418108,3.4016016,6.4418215,3.4016137,6.441816149999999,2.93,294.0,2,50,yes,0,0,0,1,1
100,Ahmadu Bello Way,trunk,3.399004,6.4435004,3.399136,6.4433781,3.39907,6.44343925,19.94,133.0,2,50,yes,0,0,1,0,1
101,Ahmadu Bello Way,trunk,3.399136,6.4433781,3.3992323,6.4432963,3.39918415,6.4433372,14.0,130.5,2,50,yes,0,0,0,0,1
102,Ahmadu Bello Way,trunk,3.3992323,6.4432963,3.3995091,6.443082,3.3993707,6.44318915,38.77,127.9,2,50,yes,0,0,0,0,1
103,Ahmadu Bello Way,trunk,3.3995091,6.443082,3.3996807,6.4429322,3.3995949000000003,6.443007100000001,25.24,131.3,2,50,yes,0,0,0,0,1
104,Ahmadu Bello Way,trunk,3.3996807,6.4429322,3.3998622,6.4427527,3.3997714500000003,6.4428424500000006,28.29,134.9,2,50,yes,0,0,0,0,1
105,Ahmadu Bello Way,trunk,3.3998622,6.4427527,3.4000894,6.4425212,3.3999758,6.44263695,35.96,135.7,2,50,yes,0,0,0,0,1
106,Ahmadu Bello Way,trunk,3.4000894,6.4425212,3.4002988,6.4422967,3.4001941,6.44240895,34.04,137.2,2,50,yes,0,0,0,0,1
107,Ahmadu Bello Way,trunk,3.4002988,6.4422967,3.4004791,6.4421234,3.40038895,6.44221005,27.72,134.0,2,50,yes,0,0,0,0,1
108,Ahmadu Bello Way,trunk,3.4004791,6.4421234,3.400678,6.4419507,3.40057855,6.44203705,29.18,131.1,2,50,yes,0,0,0,0,1
109,Ahmadu Bello Way,trunk,3.400678,6.4419507,3.4008582,6.4418086,3.4007681,6.44187965,25.42,128.4,2,50,yes,0,0,0,0,1
110,Ahmadu Bello Way,trunk,3.4008582,6.4418086,3.4010521,6.4416896,3.40095515,6.4417491,25.18,121.7,2,50,yes,0,0,0,0,1
111,Ahmadu Bello Way,trunk,3.4010521,6.4416896,3.4012583,6.4415864,3.4011552,6.441638,25.51,116.7,2,50,yes,0,0,0,0,1
112,Ahmadu Bello Way,trunk,3.4012583,6.4415864,3.4014842,6.4414862,3.40137125,6.4415363,27.33,114.1,2,50,yes,0,0,0,1,1
113,Ahmadu Bello Way,trunk,3.4086674,6.4346389,3.4087256,6.434284,3.4086965,6.434461450000001,39.98,170.7,2,50,yes,0,0,1,0,1
114,Ahmadu Bello Way,trunk,3.4087256,6.434284,3.4087752,6.4338056,3.4087504,6.434044800000001,53.48,174.1,2,50,yes,0,0,0,0,1
115,Ahmadu Bello Way,trunk,3.4087752,6.4338056,3.4087986,6.4332992,3.4087869,6.4335524,56.37,177.4,2,50,yes,0,0,0,0,1
116,Ahmadu Bello Way,trunk,3.4087986,6.4332992,3.4088127,6.4322024,3.40880565,6.432750800000001,121.97,179.3,2,50,yes,0,0,0,0,1
117,Ahmadu Bello Way,trunk,3.4088127,6.4322024,3.4088083,6.4318458,3.4088105,6.4320241,39.66,180.7,2,50,yes,0,0,0,0,1
118,Ahmadu Bello Way,trunk,3.4088083,6.4318458,3.408804,6.4314999,3.40880615,6.43167285,38.47,180.7,2,50,yes,0,0,0,0,1
119,Ahmadu Bello Way,trunk,3.408804,6.4314999,3.4087993,6.4311256,3.40880165,6.43131275,41.62,180.7,2,50,yes,0,0,0,0,1
120,Ahmadu Bello Way,trunk,3.4087993,6.4311256,3.4087993,6.4310476,3.4087993,6.4310866,8.67,180.0,2,50,yes,0,0,0,0,1
121,Ahmadu Bello Way,trunk,3.4087993,6.4310476,3.4087987,6.430015,3.408799,6.4305313,114.82,180.0,2,50,yes,0,1,0,0,1
122,Ahmadu Bello Way,trunk,3.4087987,6.430015,3.4087993,6.4299162,3.408799,6.4299656,10.99,179.7,2,50,yes,1,1,0,0,1
123,Ahmadu Bello Way,trunk,3.4087993,6.4299162,3.4087993,6.4293078,3.4087993,6.4296120000000005,67.65,180.0,2,50,yes,1,0,0,0,1
